TC,TN,CN,WC,EC,pH,Bacteria,Fungi,FB,Bacteria.perTC,Fungi.perTC,Bacteria.perDNA,Fungi.perDNA
32.5,3.1,10.48387097,38.08,66.8,6.25,1698243652,134896288.3,0.079,54782053.29,4351493.171,4.9,3.8
29.9,2.1,14.23809524,35.48,46.5,6.28,2137962090,141253754.5,0.066,71503748.83,4724205.836,5.06,3.88
26.7,2.4,11.125,35.78,49.6,6.44,1023292992,56234132.52,0.055,38325580.22,2106147.285,4.69,3.43
28.7,2.5,11.48,35.97,59.5,6.04,1698243652,120226443.5,0.071,59172252.68,4189074.686,4.94,3.8
29.4,2.7,10.88888889,35.82,43.7,6.09,588843655.4,54954087.39,0.093,20028695.76,1869186.646,4.6,3.56
27.2,2.5,10.88,35.89,51.4,5.81,1174897555,83176377.11,0.071,43194763.05,3057955.041,4.69,3.54
29.9,2.5,11.96,36.26,60.4,5.44,151356124.8,8709635.9,0.058,5062077.753,291292.1706,4.71,3.47
33.6,2.9,11.5862069,38.49,64.3,5.51,1513561248,87096359,0.058,45046465.71,2592153.542,4.91,3.67
31.6,2,15.8,35.13,65.4,5.54,954992586,66069344.8,0.069,30221284.37,2090802.051,4.61,3.45
31.9,2.4,13.29166667,37.37,61.9,5.77,2137962090,125892541.2,0.059,67020755.17,3946474.646,5.4,4.17
32.5,2.6,12.5,38.39,66.5,5.74,912010839.4,61659500.19,0.068,28061871.98,1897215.39,4.85,3.69
30.5,3.4,8.970588235,33.39,63.9,5.74,194984460,8912509.381,0.046,6392933.115,292213.4223,4.54,3.21
32.6,3.1,10.51612903,29.35,64.4,4.4,380189396.3,22908676.53,0.06,11662251.42,702720.139,4.74,3.51
20.5,1.4,14.64285714,28.15,58.5,4.31,194984460,10715193.05,0.055,9511437.073,522692.3439,4.73,3.47
32.4,3.3,9.818181818,30.8,71.3,4.29,323593656.9,19054607.18,0.059,9987458.546,588105.1599,4.73,3.5
28.9,2.6,11.11538462,26.18,62.5,4.34,933254300.8,77624711.66,0.083,32292536.36,2685976.182,4.79,3.71
21.8,2.6,8.384615385,30.71,68.4,4.27,147910838.8,11481536.21,0.078,6784900.862,526675.9729,4.68,3.58
25,2.6,9.615384615,27,59.9,4.29,169824365.2,15488166.19,0.091,6792974.608,619526.6476,4.62,3.59
26.2,3.2,8.1875,28.47,63.6,4.5,363078054.8,24547089.16,0.068,13857941.02,936911.8,4.59,3.41
23.7,2.6,9.115384615,28.41,57.3,4.52,301995172,24547089.16,0.081,12742412.32,1035742.159,4.62,3.53
34.7,3.5,9.914285714,31.84,74,4.48,537031796.4,30902954.33,0.058,15476420.65,890575.0527,4.73,3.49
31.7,3.6,8.805555556,32.08,71.9,4.42,288403150.3,20417379.45,0.071,9097891.177,644081.3707,4.54,3.39
24,2.6,9.230769231,28.95,62,4.44,467735141.3,30199517.2,0.065,19488964.22,1258313.217,4.82,3.62
24.9,3,8.3,27.44,59.9,4.42,194984460,16982436.52,0.087,7830701.205,682025.5631,4.69,3.63
34.9,3.2,10.90625,32.51,86.2,4.58,288403150.3,14454397.71,0.05,8263700.582,414166.1235,4.67,3.37
49.3,4.1,12.02439024,31.54,78.1,4.51,676082975.4,34673685.05,0.051,13713650.62,703320.1836,4.7,3.42
46.3,3.9,11.87179487,34.26,79.6,4.64,645654229,31622776.6,0.049,13945015.75,682997.3348,4.73,3.42
44.1,3.5,12.6,34.34,73.8,4.62,467735141.3,25703957.83,0.055,10606239.03,582856.1866,4.69,3.42
41.4,3.5,11.82857143,30.66,69.1,4.75,338844156.1,9549925.86,0.028,8184641.452,230674.5377,4.69,3.14
50.4,4,12.6,34.65,68.8,4.64,269153480.4,17378008.29,0.065,5340346.833,344801.7518,4.74,3.55
42.4,3.5,12.11428571,32.51,64.1,4.67,208929613.1,11220184.54,0.054,4927585.215,264626.9939,4.73,3.46
47.5,3.8,12.5,33.13,62.2,4.52,446683592.2,28840315.03,0.065,9403865.099,607164.5269,4.75,3.55
45.5,3.9,11.66666667,32.46,65.6,4.61,512861384,35481338.92,0.069,11271678.77,779809.6466,4.71,3.55
45.5,3.5,13,32.83,66.5,4.6,346736850.5,25703957.83,0.074,7620590.121,564922.1501,4.64,3.51
45.6,3.2,14.25,32.87,72.7,4.66,218776162.4,13803842.65,0.063,4797722.86,302715.8476,4.19,2.99
45.6,4.1,11.12195122,31.12,72.9,4.59,245470891.6,16595869.07,0.068,5383133.588,363944.4971,4.82,3.66
29.8,3.2,9.3125,45.12,8.46,6.41,1621810097,93325430.08,0.058,54423157.62,3131725.842,5.1,3.86
30.6,3.2,9.5625,44.66,1.763,6.96,1737800829,97723722.1,0.056,56790876.76,3193585.69,5.15,3.91
28.9,2.8,10.32142857,40.76,10.33,6.13,524807460.2,36307805.48,0.069,18159427.69,1256325.449,4.97,3.81
29.3,2.8,10.46428571,44.75,7.2,6.11,616595001.9,35481338.92,0.058,21044198.02,1210967.199,4.92,3.68
30.1,2.8,10.75,43.5,20.08,6.04,1348962883,125892541.2,0.093,44816042.62,4182476.452,5.05,4.02
29.9,3.6,8.305555556,45.17,12.82,6.43,630957344.5,46773514.13,0.074,21102252.32,1564331.576,5.07,3.94
30.8,3.6,8.555555556,43.89,5.62,6.25,977237221,50118723.36,0.051,31728481.2,1627231.278,4.93,3.64
32.5,3.6,9.027777778,46.99,1.773,6.63,446683592.2,38904514.5,0.087,13744110.53,1197061.985,4.72,3.66
30.9,3.6,8.583333333,43.31,8.86,6.09,489778819.4,46773514.13,0.095,15850447.23,1513705.959,4.84,3.82
29.2,3.4,8.588235294,43.6,7.28,6.49,426579518.8,30902954.33,0.072,14608887.63,1058320.354,4.82,3.68
31,3.8,8.157894737,43.37,3.07,6.03,407380277.8,41686938.35,0.102,13141299.28,1344739.947,4.74,3.75
33.6,3.7,9.081081081,43.91,4.5,6.06,416869383.5,30199517.2,0.072,12406826.89,898795.1548,4.74,3.6
27.3,2.9,9.413793103,37.62,3.14,5.21,457088189.6,33113112.15,0.072,16621388.71,1204113.169,4.87,3.72
28.3,3.2,8.84375,40.33,4.26,5.25,371535229.1,27542287.03,0.074,13316674.88,987178.7466,4.75,3.61
31.9,3.2,9.96875,41.49,1.816,5.06,416869383.5,22908676.53,0.055,12986585.16,713665.9355,4.75,3.49
33.4,3,11.13333333,41.78,2.79,5.15,446683592.2,39810717.06,0.089,13373760.25,1191937.637,4.77,3.71
33.2,3,11.06666667,39.97,5.14,5.16,416869383.5,26915348.04,0.065,12556306.73,810703.2542,4.79,3.61
24.3,2.5,9.72,37.03,2.57,5.25,398107170.6,34673685.05,0.087,15797903.6,1375939.883,4.8,3.73
25.4,2.3,11.04347826,40.03,5.48,5.55,436515832.2,28183829.31,0.065,17185662.69,1109599.579,4.76,3.56
27.9,2.4,11.625,40.32,6.74,5.45,1023292992,51286138.4,0.05,36677168.17,1838212.846,5,3.7
28.5,2.5,11.4,39.24,5.82,5.52,562341325.2,23442288.15,0.042,19731274.57,822536.4263,4.81,3.44
24.5,1.9,12.89473684,39.7,5.93,5.56,812830516.2,40738027.78,0.05,33176755.76,1662776.644,4.93,3.63
25.3,2.3,11,40,7.15,5.17,457088189.6,21877616.24,0.048,18066726.86,864727.9146,4.76,3.44
23.8,2.4,9.916666667,40.95,7.93,5.17,1479108388,79432823.47,0.054,62147411.26,3337513.591,5.06,3.78
41.5,2.9,14.31034483,42.81,5.98,5.6,549540873.9,19054607.18,0.035,13241948.77,459147.161,4.82,3.35
40.4,2.5,16.16,39.85,5.97,5.57,707945784.4,27542287.03,0.039,17523410.5,681739.778,4.94,3.52
45.7,3,15.23333333,43.91,5.27,5.55,537031796.4,21379620.9,0.04,11751242.81,467825.4026,4.82,3.43
45.6,2.9,15.72413793,45.25,8.55,5.63,676082975.4,23442288.15,0.035,14826381.04,514085.2664,4.87,3.41
40.4,2.7,14.96296296,41.56,8.22,5.56,602559586.1,25703957.83,0.043,14914841.24,636236.58,4.86,3.49
37.3,2.5,14.92,41.28,10.24,5.62,645654229,34673685.05,0.054,17309764.85,929589.4115,4.89,3.62
45.3,3.2,14.15625,40.52,7.84,5.54,616595001.9,36307805.48,0.059,13611368.7,801496.8097,4.85,3.62
42.5,2.7,15.74074074,43.2,11.16,5.59,416869383.5,17782794.1,0.043,9808691.376,418418.6847,4.84,3.47
